"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"VRK2",4.06801954093969e-05,1.02036102823324e-05,1.41708027609554e-05,1.09256921916391e-05,1.24785552631324e-05,9.99299687349372e-06,1.83860739293469e-05,2.42465696341147e-05,3.30683622192924e-05,0,1.44903285547145e-05,2.15280128923456e-05,1.10006022552409e-05,9.44701761934925e-06,1.82524661208449e-05
"FANCL",1.51360212103714e-05,1.09975222938504e-05,5.31425862136864e-06,1.57509174894658e-05,2.01811047838548e-05,0,2.02143121730033e-05,8.38669764575281e-06,0,9.96810207336523e-06,1.35944099415491e-05,4.59797954348162e-06,9.34106348018102e-06,1.10811285815848e-05,6.03646232897264e-06
"RP11-334G22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01122",0,0,2.08868141446244e-06,0,0,0,0,5.7332874670336e-07,0,0,0,0,0,0,0
"RP11-444A22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007131.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4432HG",0,0,0,0,0,0,0,3.92663791212307e-06,0,0,0,0,0,0,0
"BCL11A",8.89704663036645e-05,2.99979241436493e-07,0,0,0,0,0,2.12462924920333e-05,0,0,3.62375484127971e-06,2.5713949962672e-06,1.87271528734943e-07,0,0
"PAPOLG",1.63121187525452e-05,1.54819981735944e-05,5.50857122764813e-06,9.73171467684858e-06,5.35012548477904e-06,1.19784686843461e-05,9.85988828047478e-06,2.78034558413836e-05,5.73888091822095e-06,4.28313218648049e-05,1.76010286150336e-06,1.58127767235927e-05,7.43628260057904e-06,6.40005227435271e-06,7.45753494218201e-06
"LINC01185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"REL",0.00056333522500037,4.07871408015052e-05,0.000270313449571884,7.95815097230124e-05,0.000148444982790862,0.000207147019145117,6.44889129879435e-05,0.000460486282521061,0.000687336568635964,0.000329775589931505,7.66098748260118e-05,7.62112805069172e-06,2.93647473447649e-05,0.000253638503796396,0.000381810053342708
"PUS10",1.5560198891311e-05,3.53404104367874e-06,7.45609272796087e-07,5.67319260531172e-06,9.04393816478598e-07,7.93424101050494e-06,4.33026791112102e-06,2.95206209660139e-06,5.29941706412295e-06,0,3.7822842025577e-06,1.3635197475618e-06,1.51971584101452e-06,9.32269910280853e-06,3.04256220222782e-06
"PEX13",1.72966640443898e-05,1.39349410108208e-05,1.72364243107028e-05,1.90505989450613e-05,2.93198781975017e-05,5.94876919965259e-06,1.68550402929857e-05,1.0904056834993e-05,3.88913990100405e-05,0,1.85613743625021e-05,3.3295276300791e-06,1.13496225871807e-05,1.16588444638263e-05,1.85590450481195e-05
"KIAA1841",0,1.03731287816559e-05,2.58622829745279e-06,9.17567713334252e-06,1.71956428413831e-05,6.48067139755679e-06,1.53476794820175e-05,3.07925102210277e-06,0,0,5.10665767976935e-06,7.62417106200128e-07,4.11471101030342e-06,1.26439216536639e-06,2.93727162713099e-06
