gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5,magnitude
BRK1,-0.5170434559696597,-1.3917139850264764,0.45876772933038124,0.22242021275363655,0.004271273547924508,-0.108135773892846,-3.99127495999111,-0.9698088857385794,2.7173355368773993,True,True,0.9698088857385794
PARP8,0.9034019730549948,1.4023852160096675,1.4780057814189385,0.6763030034883585,1.0310896125363969,1.0353735622577642,-3.2643585867811757,0.9606342158426929,1.493998019888902,True,True,0.9606342158426929
ID2,0.7679240744969329,1.2186527561543528,0.6065060145290708,1.4160550395191003,1.6166152338519433,0.9483741717890491,-4.645050577670135,0.9600307321148919,5.148060843952788,True,True,0.9600307321148919
HLA-DPB1,1.3285124332804161,0.36051739190597715,1.5973014267219623,0.7937417784923605,1.1541444954884685,0.9716751458879663,0.9317782224052296,0.9424567869682671,2.646004504672339,True,False,0.9424567869682671
DDX3X,0.5530240972062523,1.5519940317833263,0.04014173115185472,0.2941622678992409,0.0608146806731511,0.3708315835848816,-4.411475506236257,0.9276371757631313,2.11292363163602,True,True,0.9276371757631313
PTPN22,0.7471036454568273,1.5409222117306207,0.6970150592521246,0.8259534837768845,1.6094959103194102,1.068986835001928,3.984607055899126,0.9273207937927275,1.0101767361390113,True,True,0.9273207937927275
C6orf48,-1.204677875391125,-0.8037676448026295,-0.2035983187233186,0.262910282143372,0.3505952058622818,0.07366074092746713,-2.0269448630429254,-0.9240180948470701,1.4136192191916956,True,True,0.9240180948470701
MT2A,1.0761808805751312,0.37406402684850304,0.4025109427418209,0.9662231841302962,-0.6718918480191602,0.23964717125495322,2.8409345371260932,0.9231766067507376,14.274420115168942,True,False,0.9231766067507376
SPINT2,-0.5609232914331171,-1.1633429804486641,-2.2999610570718456,0.4213821359845075,-0.4501846459081506,-0.4428264553350555,2.911229739413329,-0.9207291318427924,1.6974245151186897,True,True,0.9207291318427924
HLA-DPA1,1.4689439637497448,-0.32698182808612564,2.044323875846566,0.6479750446056687,1.4504267657713281,0.8395233933356935,-3.6277885153133926,0.9202282693555124,2.9299069437223046,False,False,0.9202282693555124
NUCB2,1.218038278717434,0.4910299673649636,1.166993912527758,1.9462055860844811,-0.6395531102850855,0.9158274429754054,1.2195954290729274,0.9189557194861782,1.3138133736575128,True,False,0.9189557194861782
TNF,0.9526935445436002,0.6327402591670681,1.0385799760629382,1.1071910772569578,1.8398820359496026,1.4728541315679167,0.0,0.9054504827993034,1.1170873947928477,True,True,0.9054504827993034
POLR2A,0.9623516493355492,0.7218520809561254,0.016607008303088883,0.7549668323750744,-0.1616590133643498,0.23244099355816003,0.0,0.898448156476939,1.2839548957212183,True,True,0.898448156476939
WIPF1,0.7962380231512275,1.1423132391124806,0.41883162789619893,0.7517722608422313,0.781022995163802,-0.08871636496281626,-3.1885406796096594,0.8931836513391577,1.5967281916026415,True,True,0.8931836513391577
