"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"RP11-287D1.3",0,1.03327599983068e-07,2.74193821443243e-08,0,3.05108815228298e-08,6.19763002627795e-07,0,0,1.21994060255599e-08,0,7.1849635955857e-08,0,0
"SLC4A5",0,1.77905694506645e-06,3.64980689741489e-07,0,9.99613797133736e-07,0,0,0,1.01424061054557e-06,3.44843163604977e-07,7.57697374899744e-07,5.68293862483115e-07,0
"DCTN1",3.59359984007345e-05,4.46084147914805e-05,2.7994437973687e-05,7.26116214922329e-06,4.13444360168886e-05,1.6059918504316e-05,2.13505614520843e-05,1.84503073860236e-05,3.4046131511198e-05,5.95376450563256e-06,4.4133379735529e-05,3.07961121125602e-05,2.24173094544721e-05
"C2orf81",5.38981863260301e-06,8.19061605475973e-06,3.39029969684457e-06,0,3.32891638288139e-06,1.59927841817847e-06,0,0,4.78383706127937e-06,5.3455296938829e-07,6.32372094515911e-06,1.03232413326066e-06,3.8466368252666e-06
"WDR54",1.88468985670861e-05,1.32138529297494e-05,3.11731837193586e-05,0.000134883231813469,3.37388114391149e-05,7.4906529504316e-06,2.79527969679116e-05,3.13069445621106e-05,1.4111396470507e-05,1.54458983627179e-05,2.67435899698375e-05,5.12886377214609e-05,6.05365807528088e-05
"RTKN",1.00786417033879e-05,1.18087400863366e-05,2.0296791605385e-05,5.94876919965259e-06,1.21453143030392e-05,2.69147400719507e-06,6.53082549634274e-06,0,2.9735560533997e-05,2.54607834525777e-06,5.8446623747662e-06,4.90766233320083e-07,4.26146711733777e-06
"INO80B",9.12533649678332e-06,5.63572937864144e-07,4.71025530919255e-06,4.04422767384113e-06,1.52288396440012e-06,6.87502058002016e-07,0,4.0642971814099e-06,2.25787244324716e-06,4.4588795722568e-06,1.6921016980144e-06,4.26479109190808e-06,2.50067518229922e-06
"INO80B-WBP1",0,0,0,0,0,0,0,0,0,0,0,0,0
"WBP1",1.2456592783355e-05,3.30316992375641e-05,7.98581202501835e-06,0,3.49339227367852e-05,1.4843204478193e-05,6.56005487973283e-05,4.52314679459091e-05,5.1789628599165e-05,2.23690629916201e-05,3.7081330557606e-05,1.72615547998685e-05,1.30829582967735e-05
"MOGS",1.46237381048432e-05,1.04458800486524e-05,1.00100432910975e-05,9.82013687007957e-05,1.3395535838765e-05,8.8346611486407e-06,2.94385588639251e-05,2.60499622622837e-05,1.66121625950832e-05,1.06079727334489e-05,6.66527953886472e-06,1.43785595170952e-05,2.12076085970809e-05
"MRPL53",1.53609831029186e-05,2.47831473591252e-06,6.40294178261206e-06,5.94876919965259e-06,3.08262960264238e-06,4.47329611656701e-06,0,7.95089527080749e-06,4.06758923820519e-06,1.29484273532519e-05,5.42625395169736e-06,1.64225631634167e-06,7.50417978318927e-06
"CCDC142",3.09429875454475e-06,9.91741454854905e-06,5.99979375604891e-06,5.43942385622515e-06,5.47322202234631e-06,2.05435487741274e-06,0,0,5.77081626529297e-06,7.03117719312356e-06,9.40714480372178e-06,9.70080725871079e-06,3.01222441294721e-06
"TTC31",7.46799251879385e-06,1.02807300412694e-05,7.2697077924739e-06,1.00480295813991e-05,8.72618636293451e-06,3.19859513485709e-06,0,2.93407975283305e-05,8.15128886857088e-06,7.18317074851936e-06,6.9759481241411e-06,1.23321375117834e-05,5.19763872431044e-06
"LBX2",7.46714456391876e-07,2.89472070256535e-06,6.9849896782598e-07,0,4.20462953790341e-06,6.5894474787129e-07,0,0,4.29446110046616e-07,4.38743701285738e-07,7.25121091638289e-07,0,0
"LBX2-AS1",0,8.2243751146268e-06,1.56088266448269e-06,0,7.25123114335549e-06,3.89843992855e-06,0,0,3.97701416394703e-07,1.64971473056811e-06,4.69921536872911e-06,0,0
"PCGF1",9.5760477009771e-06,1.94089734836964e-05,1.917248746777e-05,0,1.35163847192837e-05,1.168198928969e-05,3.42973031152299e-05,1.5699596152519e-05,1.87421196566335e-05,2.6852014216983e-06,1.74813397436018e-05,1.51081124519465e-05,9.80432739741898e-06
"TLX2",1.89196859332135e-06,0,0,0,0,0,0,0,8.73170746615671e-08,0,0,0,0
"AUP1",0.000112345919483925,0.000106506065002557,0.000135848881195059,8.60993550422288e-05,0.000140276519986334,0.000116319189255598,0.000185769599058914,0.000137477513875212,0.000114345706172392,9.28131094064478e-05,9.97730990013254e-05,0.000142615503295765,0.000100359413235213
"HTRA2",4.52615402624277e-05,2.93927917283254e-05,3.05331008412737e-05,2.66800955545423e-05,4.30771598713301e-05,1.99161567832558e-05,6.53082549634274e-06,5.01673386701197e-05,2.40032943475428e-05,2.07495500548148e-05,3.56053985550832e-05,2.15319858984362e-05,1.65199723108654e-05
"LOXL3",0,5.25396579657513e-06,9.14499962391599e-07,0,5.22347881689892e-07,1.40727385402474e-05,0,0,6.62137715439799e-07,0,2.49150164076761e-06,0,0
"DOK1",2.83357342616271e-05,1.17278533600983e-05,8.64440178678882e-06,2.05955830712545e-06,9.79310054493374e-06,2.83109364030283e-05,3.42471617664686e-06,3.02165761787848e-05,3.2536964024113e-06,1.08404089477066e-06,1.19699253505162e-05,6.43252595931418e-06,1.3771744861861e-05
"M1AP",0,0,6.39679461962763e-07,0,0,2.01084957425467e-06,0,0,3.00419459560668e-07,0,0,0,0
"SEMA4F",0,3.40419613174361e-06,2.3745554248828e-06,0,4.32346975284204e-06,1.98175458649001e-06,0,0,4.95877262710731e-06,1.60328095414456e-06,2.11369549018936e-06,5.48664828998301e-06,4.06481044787141e-06
"RP11-259N19.1",0,0,5.05112572947542e-07,0,0,2.78390236297633e-07,0,0,3.63641910550954e-07,0,0,0,0
"HK2",2.84965234241423e-06,9.82899018914781e-07,1.56435440629836e-05,0,1.26413849983154e-06,1.05752633042909e-05,1.94874792945532e-05,9.63613937711995e-06,7.54443169821261e-06,3.6629397672398e-06,7.98806354225609e-07,1.18817913380165e-05,0
"LINC01291",0,0,0,0,1.29765877312514e-08,0,0,0,2.19462445705142e-07,0,0,0,0
"AC104135.2",0,0,1.30440102296346e-08,0,2.05850610674378e-07,0,0,0,5.23486427986171e-08,0,1.42870756399217e-07,0,0
"POLE4",8.60216339775648e-05,5.24066650203157e-05,6.35388822039805e-05,6.94082091156793e-05,0.000179390890030812,7.7191005812898e-05,4.8435734128757e-05,0.000121185128178147,6.53351080548504e-05,1.5431195874806e-05,7.88876813600863e-05,9.15155934271446e-05,6.59242603277116e-05
"TACR1",0,9.19045807047264e-07,9.4680948653311e-08,0,5.92748300965001e-05,6.79083830354569e-07,0,0,1.46018050729554e-06,0,6.84562227251011e-07,2.33534347151247e-06,0
"RP11-355F16.1",0,4.70672154833581e-07,8.65429181687302e-07,0,7.76735011636294e-06,1.89855633776077e-07,0,0,6.11950168566527e-07,0,4.44655699780018e-07,0,0
"EVA1A",0,1.88768547591812e-05,2.17808336287359e-08,0,3.70256287620073e-06,0,0,0,4.40741641932255e-06,0,1.25064060267841e-06,0,0
"MRPL19",1.67879590185819e-05,2.62416383428164e-05,3.04444025838472e-05,3.17519285327593e-06,2.69831160610172e-05,2.86627684996231e-05,5.32722478224969e-06,1.74131431006437e-05,3.09899469815218e-05,1.45071457462105e-05,3.13272125279059e-05,2.00616085375992e-05,2.21677664280686e-05
"GCFC2",2.25711375875746e-05,1.35731298582741e-05,9.08594784547289e-06,1.58759642663796e-06,1.16368452391685e-05,7.7308870505396e-06,0,7.05925538974149e-06,1.27566829766649e-05,2.90428830773901e-06,1.30981430490038e-05,1.18071309535086e-05,8.52265893286e-06
"RP11-342K6.1",1.9881703862021e-06,3.41084632520413e-06,1.4694215761153e-06,8.06907124989914e-05,3.53571855054902e-06,4.5921107824317e-07,0,0,2.57004923942375e-06,4.4436836725538e-06,2.23773755787196e-06,5.54548126459155e-06,0
"RP11-342K6.4",0,0,0,0,0,0,0,0,3.38277140989853e-08,0,2.35943296229679e-07,0,0
"SUCLG1",4.50874333358332e-05,6.40106429139643e-05,0.000100399406868639,0.000111799663523543,6.17097899220874e-05,6.08899498508865e-05,6.42881414692322e-05,5.31801527529049e-05,0.000115253784036965,2.0745822014835e-05,9.58982047879264e-05,6.54213259298811e-05,6.60463489759767e-05
