gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
SMIM1,0.24560211079150915,-0.5713600209608792,-0.47869448311805485,-1.12371352270147,-0.4316091317910183,0.08664774995693678,0.0,-0.027167660901456663,0.03993572937647155,False,False
LRRC47,-0.31060493486758084,-1.380631049342852,-0.10135739698076342,-0.038687366960990545,0.3992450596766028,-0.060556991832735566,0.0,-0.727065893970573,0.2560813323882305,True,False
CEP104,0.714371795514351,-0.2689227494432871,0.8842462316834951,-1.2561884409338167,0.13970530867745148,-0.06677869578907734,-2.602421709855925,0.3922915251236388,0.16558929538835476,False,False
DFFB,-0.22558578717093405,-0.47839691539312895,-0.5154343333775808,0.0,0.0,0.017427194940012568,0.0,-0.32916227217606514,0.019202856531062094,True,False
C1orf174,0.604407115175311,1.4529930910524076,-0.5762864276255801,0.264794667271654,0.7138810365190954,0.19523969556678483,-2.7776920826929152,0.7785896160176187,0.19519439234930633,True,True
LINC01134,0.0,0.0,0.48816948704979946,0.0,0.0,0.0,0.0,0.0,0.0,False,False
AJAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RP11-154H17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
NPHP4,-0.10407894542696333,-0.9355972215519309,0.33951060630703195,0.0,-0.7457505752429447,0.11508026499330593,0.0,-0.39650291089922757,0.05112018797957285,True,False
KCNAB2,-0.05453858378647344,0.676796294420232,-0.5104478663167202,0.7764698135806912,-0.8796106037421026,-0.8058491446382261,0.0,0.1431927303908174,0.4977201203376824,False,False
RPL22,-0.7659999891354428,-0.34453650264852537,-0.7985893900155175,-0.7643310243448294,-0.9043122304837891,-0.6763186448238102,-5.766007842429216,-0.5813521354014394,14.438239279213956,True,False
RP1-120G22.11,0.0,0.0,-0.13254381598536463,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RNF207,-0.34842102233772637,-0.6963753483340369,0.0,0.0,-0.4490201105263029,-0.16876787979742203,0.0,-0.5182210210595779,0.05158684029520095,True,False
ICMT,-0.13372267265365576,-1.7011227385178271,0.2505845880111792,1.7566713198476394,0.6266946483896249,-0.6191313014455773,3.984607055899126,-0.6433224053760324,0.12312632260962234,True,False
LINC00337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
GPR153,0.0,0.2727120597806489,0.0,0.0,0.0,0.0,0.0,0.11015531006200624,0.003967221231298519,False,False
ACOT7,-0.22422435769378102,0.6185245728806624,-0.46767711305423443,0.5873078195479655,0.7142149764834864,-0.33030566329115446,-2.0269448630429254,0.16172319779113264,0.061477986306574,False,False
RP1-202O8.3,0.0,0.0,0.0,0.0,0.0,0.1713533242048172,0.0,0.0,0.0,False,False
HES2,0.0,0.1624045525723089,0.0,0.0,0.0,-0.24062935901432253,0.0,0.06410331966062488,0.00227174835570854,False,False
ESPN,-0.45099720933741905,0.0,-0.20329896805138267,0.0,-0.5366221318323573,-0.27347788373386406,0.0,-0.30130035972786295,0.01161272970684411,False,False
TNFRSF25,-2.156987413056094,0.045701698052543045,-1.7923231548953622,-2.3557967967358473,-2.1246797226550482,-1.875648429827355,-4.316032366717957,-1.505062092381294,0.3374030147463509,False,False
