"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"mix_0124_depth100",0.000188257136036196,0.168250451023902,0.282608656183345,0.0001882571360362,0.0472648179647804,0.00531061632950776,0.301377432426106,0.00018825713602113,0.000188257136036198,0.194434997528228
"mix_0124_depth25",0.000268284034698187,0.175131697912828,0.279447467664407,0.000268284034698186,0.0463751907572548,0.00961596767461371,0.292896241105504,0.000678643550942602,0.0105788294232443,0.18473939384181
"mix_0125_depth100",8.69805357861656e-05,8.69805357783909e-05,0.426490557188314,8.69805357861666e-05,8.6980535797302e-05,0.0133600660552757,0.328349154485918,8.69805396293996e-05,0.0552459961583444,0.176119323429371
"mix_0125_depth25",0.000128360074993914,0.000128360075026218,0.413560062902854,0.000128360074993915,0.000128360075032996,0.0169366359121083,0.32717192769078,0.00012836007418599,0.0500940081913999,0.191595564928625
"mix_0126_depth100",0.000125787629821863,0.238054285803438,0.436285260885292,0.000125787629829119,0.000125787629935287,0.000125787629835567,0.283579508070309,0.00054468638666772,0.00190867505199635,0.0391244332828743
"mix_0126_depth25",0.00018578271712582,0.210967491534744,0.487375286966482,0.000185782717129863,0.00496892623571365,0.00417226227939514,0.240011942210181,0.000185782716392173,0.0170553269534757,0.0348914156693603
"mix_0127_depth100",0.00201958330801507,0.308405196461058,0.279726420254475,0.000134515899111745,0.000134515899578728,0.00499042264899874,0.382774723473864,0.000134515900274562,0.000151264224879847,0.0215288419297446
"mix_0127_depth25",0.0019276456321507,0.322961327466462,0.24839845212853,0.000138723635968792,0.000138723636025711,0.00579573309346892,0.416684220428515,0.000138723635703431,0.00367772670720759,0.000138723635968155
"mix_0128_depth100",0.000126612191054868,0.188214003212948,0.368118560372649,0.000126612191052018,0.000126612191005846,0.000126612191110383,0.378317588495591,0.000490211614976291,0.020670902634738,0.0436822849048739
"mix_0128_depth25",0.0061544475712883,0.196338520881249,0.364561531109429,0.000129943468900044,0.000129943468875699,0.000129943468899734,0.382891042321521,0.0013111157995166,0.0159327033664002,0.0324208085439204
"mix_0129_depth100",0.00012617663856197,0.286055285452465,0.295148969639419,0.000126176638553804,0.122900751042765,0.000126176638290261,0.295134301639405,0.000126176637605681,0.000126176638553805,0.000129809034380964
"mix_0129_depth25",0.00018206199806865,0.275240541979192,0.303351813192288,0.000182061998068642,0.120130084281134,0.000182061998001798,0.281278398586395,0.000182061997592573,0.00752179014076182,0.0117491238284978
"mix_0130_depth100",0.00211734234209525,0.22495303136778,0.327516147124605,0.000119165414042389,0.0476649548928998,0.000119165418458637,0.394868163065342,0.000119165413740111,0.00240369954701759,0.000119165414019164
"mix_0130_depth25",0.000189520157638788,0.254281791800366,0.316911083349168,0.000118417788653698,0.0556488904661883,0.00011841778800949,0.370651011406762,0.000118417788626517,0.00184403166593379,0.000118417788653694
"mix_0131_depth100",0.000125691833512434,0.285646454397964,0.331336318590062,0.000125691833513576,0.121567954410974,0.000125691834293763,0.247425207527942,0.000125691833682991,0.0133956059045509,0.000125691833504123
"mix_0131_depth25",0.000128740257326673,0.291317438055821,0.335435034330892,0.000128740257326671,0.116869972128437,0.00012874025727765,0.253418242772749,0.00231561142551782,0.000128740257326673,0.000128740257325689
"mix_0132_depth100",0.000901744035673864,0.231419147070619,0.299675486016957,0.138603844371769,0.00012935636027638,0.000129356359612771,0.30386389402994,0.000129356360184767,0.0250184590349264,0.000129356360041058
"mix_0132_depth25",0.00584474155133198,0.224230303700427,0.277205233281028,0.139243848791161,0.00240370924422425,0.00018548293563562,0.314308301544073,0.00147279092305059,0.0349201050932741,0.000185482935794456
"mix_0133_depth100",9.03825661558333e-05,0.298781735230724,0.327331741499069,0.0688533795006175,9.03825661672134e-05,9.03825643117839e-05,0.304490848375136,9.03825660379744e-05,9.03825661713143e-05,9.03825656093525e-05
"mix_0133_depth25",0.00012599464244284,0.292268187489687,0.314860799023909,0.0754925739698375,0.000125994642442833,0.000125994642420316,0.31657461025941,0.000125994644417694,0.000173856043244978,0.000125994642188961
"mix_0134_depth100",9.2532878213094e-05,0.211361066228309,0.413589820673908,0.0228240239053909,9.25328782707581e-05,9.25328786655165e-05,0.330523212917305,0.0012598189956717,0.0200719257660645,9.25328782013952e-05
"mix_0134_depth25",0.000131947070336939,0.259356717465324,0.378848932575936,0.00537992255300796,0.000743135175413097,0.000131947070869104,0.339142250121361,0.00522284731884323,0.010910353578575,0.000131947070333988
"mix_0135_depth100",0.0539243504180748,0.294785094331309,0.235805572527839,8.23730941692449e-05,8.23730941178301e-05,8.23730941542541e-05,0.414963275590115,8.23730942290648e-05,0.00010984166184145,8.23730941505319e-05
