variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,NNLS,rna,factorial,0.25,NK cells,189,0.3863924702382813,1.1153971716383166,-0.3863924702382813,2.704747291667969,0.0,0.0
baseline,NNLS,rna,factorial,0.25,NKT cells,189,5.471176456886333,7.469253706746094,5.310935148937233,5.078006523651404,5.536704779092153,0.7160493827160493
baseline,NNLS,rna,factorial,0.25,Normal Epithelial,189,42.340582096357615,46.99003585131539,42.340582096357615,,42.34058209635761,0.9312169312169312
baseline,NNLS,rna,factorial,0.25,PVL,189,5.264109998748339,7.192080386514858,-5.046739805721594,5.264109998748339,,
baseline,NNLS,rna,factorial,0.25,Plasmablasts,189,0.0,0.0,0.0,,0.0,0.0
baseline,NNLS,rna,factorial,0.25,T cells CD4+,189,1.4341617903549697,5.250568906280459,0.5932546387226324,7.283116138517342,0.4593360656612411,0.037037037037037035
baseline,NNLS,rna,factorial,0.25,T cells CD8+,189,4.232511462759491,6.170654563787365,-4.0899418612434175,6.2973636964475554,0.102806995383363,0.015873015873015872
baseline,NNLS,rna,factorial,0.25,Epithelial total,189,9.327007013683549,11.761768558363238,-0.4334353235040365,9.327007013683549,,
baseline,NNLS,rna,factorial,1.0,B-cells,189,0.45935835760349836,1.355423847161177,-0.37283618006533625,3.215508503224489,0.0,0.0
baseline,NNLS,rna,factorial,1.0,CAFs,189,4.21303808277884,6.524828799419472,2.1375952190705494,5.7417939382132674,1.155526371909983,0.30158730158730157
baseline,NNLS,rna,factorial,1.0,Cancer Epithelial,189,42.86380911997919,45.29423156898141,-42.86380911997919,42.86380911997919,,
baseline,NNLS,rna,factorial,1.0,Cycling T-cells,189,3.106878443101752,6.006708107934236,1.7475358526113844,6.685679509021781,2.5104115987817486,0.2962962962962963
baseline,NNLS,rna,factorial,1.0,Endothelial,189,0.940079939360286,2.9934462812579476,-0.8461320912811188,6.251742107244916,0.05480291137951431,0.018518518518518517
baseline,NNLS,rna,factorial,1.0,Myeloid,189,1.6071460756342903,3.0125673374082447,1.3926770677955955,3.3299747582297297,1.320007961868384,0.345679012345679
baseline,NNLS,rna,factorial,1.0,NK cells,189,0.37874992713144573,1.1012510837845504,-0.37874992713144573,2.6512494899201196,0.0,0.0
baseline,NNLS,rna,factorial,1.0,NKT cells,189,5.471051315038374,7.348698130077546,5.320059018065538,5.036051752122887,5.543551242190955,0.7716049382716049
baseline,NNLS,rna,factorial,1.0,Normal Epithelial,189,42.568396310719066,47.168288621352005,42.568396310719066,,42.568396310719066,0.9365079365079365
baseline,NNLS,rna,factorial,1.0,PVL,189,5.293646685213172,7.148747606666926,-5.100878737112194,5.293646685213172,,
baseline,NNLS,rna,factorial,1.0,Plasmablasts,189,0.0,0.0,0.0,,0.0,0.0
baseline,NNLS,rna,factorial,1.0,T cells CD4+,189,1.3924352027828832,5.083314655097245,0.5281273991730233,7.157437085178965,0.43160155571686953,0.037037037037037035
baseline,NNLS,rna,factorial,1.0,T cells CD8+,189,4.240055679679439,6.207538832642149,-4.131984811865873,6.327999089218265,0.0641688606017862,0.015873015873015872
baseline,NNLS,rna,factorial,1.0,Epithelial total,189,9.258475960633998,11.65140656138287,-0.295412809260123,9.258475960633998,,
baseline,NNLS,rna,pure,0.25,B-cells,55,3.7139089298091705,12.879509095873289,-3.4124925656927356,39.19520822526049,0.1657790002640392,0.02
baseline,NNLS,rna,pure,0.25,CAFs,55,1.771607856663688,4.745948660892433,0.5230996797893983,6.866794972808594,1.2620891450491976,0.22
baseline,NNLS,rna,pure,0.25,Cancer Epithelial,55,8.463255018160297,22.038898888771538,-4.129198349159273,69.25849352025764,2.383731167950563,0.22
baseline,NNLS,rna,pure,0.25,Cycling T-cells,55,5.9084073363811935,12.233733859437521,0.8325472315929351,27.91723057633543,3.7075250123857715,0.28
baseline,NNLS,rna,pure,0.25,Endothelial,55,5.975793711865358,14.807088778623793,-2.2478420304647484,45.22999658281559,2.050373424770335,0.22
baseline,NNLS,rna,pure,0.25,Myeloid,55,1.9503281155876915,3.6231721773352192,1.4082197600705262,2.9815959553444076,1.84720133161202,0.4
baseline,NNLS,rna,pure,0.25,NK cells,55,6.465354400270107,18.709742095620395,-3.580695790040176,55.25327604670656,1.5865622356264617,0.1
baseline,NNLS,rna,pure,0.25,NKT cells,55,3.9373696123972506,11.180064434939654,-0.4502914782135724,24.132135998359523,1.9178929738010233,0.2
baseline,NNLS,rna,pure,0.25,Normal Epithelial,55,7.932473233499651,20.5027705691204,7.932473233499651,,7.93247323349965,0.3090909090909091
baseline,NNLS,rna,pure,0.25,PVL,55,5.095207838395383,16.921325736756412,-3.6344851991786657,48.01331170665726,0.8033974515691946,0.1
baseline,NNLS,rna,pure,0.25,Plasmablasts,55,0.0,0.0,0.0,,0.0,0.0
baseline,NNLS,rna,pure,0.25,T cells CD4+,55,7.852518931472078,13.739396669251937,5.88202612656025,10.837710427015072,7.55399978191778,0.42
baseline,NNLS,rna,pure,0.25,T cells CD8+,55,7.399095369097951,15.790417168081056,0.8766393812363975,35.87350793323854,4.5516541126838925,0.26
baseline,NNLS,rna,pure,0.25,Epithelial total,55,4.394704022848351,8.75503707236235,3.8032748843403774,3.2528602617938502,4.5088883989538,0.44
baseline,NNLS,rna,pure,1.0,B-cells,55,3.586553550556153,12.418549768151713,-2.811174845337161,35.187506177413226,0.4264582878704456,0.08
baseline,NNLS,rna,pure,1.0,CAFs,55,1.6617379686718219,4.848281510966708,0.3344326376942537,7.300179320376628,1.0978938335013417,0.1
baseline,NNLS,rna,pure,1.0,Cancer Epithelial,55,8.081958154972272,21.632469068742143,-4.4810375329348915,69.09647628348941,1.9805063421205602,0.22
baseline,NNLS,rna,pure,1.0,Cycling T-cells,55,5.134258486788659,11.02159253070178,0.13464544340641968,27.49787173860231,2.8978971616072933,0.28
baseline,NNLS,rna,pure,1.0,Endothelial,55,6.401035958036507,15.232960910078802,-1.9552157984556215,45.95938466070671,2.4452010877694867,0.24
baseline,NNLS,rna,pure,1.0,Myeloid,55,1.5223156586963127,3.1048876955784523,1.1059308297825503,2.2901165590256922,1.4455355686633746,0.34
baseline,NNLS,rna,pure,1.0,NK cells,55,6.249067292067916,19.319261260917777,-4.158390431883927,57.24101748173513,1.149872273101194,0.1
baseline,NNLS,rna,pure,1.0,NKT cells,55,3.6874906368385125,9.438129580114946,0.1101653281340404,19.67528919787459,2.088710780734904,0.22
baseline,NNLS,rna,pure,1.0,Normal Epithelial,55,8.063935895649843,20.768819566093722,8.063935895649843,,8.063935895649845,0.2909090909090909
baseline,NNLS,rna,pure,1.0,PVL,55,5.214082262574894,17.21325843816298,-3.6302008728887576,48.64355724505008,0.8711347643273754,0.1
baseline,NNLS,rna,pure,1.0,Plasmablasts,55,0.0,0.0,0.0,,0.0,0.0
baseline,NNLS,rna,pure,1.0,T cells CD4+,55,8.99564917852386,16.761134932048865,7.6367923202434325,7.473712720542356,9.14784282432201,0.42
baseline,NNLS,rna,pure,1.0,T cells CD8+,55,8.061535309785425,18.536419796215636,-0.34988297341019536,46.262800557575915,4.241408785006376,0.24
baseline,NNLS,rna,pure,1.0,Epithelial total,55,3.989570220608972,8.17524639251256,3.5828983627149524,2.2366952184171085,4.164857720828158,0.4
baseline,NNLS,cells,factorial,0.25,B-cells,189,1.3915166592979862,3.7153904869127903,-1.359806092024765,9.740616615085903,0.0,0.0
baseline,NNLS,cells,factorial,0.25,CAFs,189,8.334463790091114,13.326698256884333,5.296128602887912,11.822321779336301,1.358747811600737,0.30158730158730157
baseline,NNLS,cells,factorial,0.25,Cancer Epithelial,189,28.42123040210211,31.217359787661636,-28.408585195094247,28.42123040210211,,
baseline,NNLS,cells,factorial,0.25,Cycling T-cells,189,3.3589428688257623,6.236977620961246,1.5518017499266452,8.029687564835038,2.5804854194908824,0.29012345679012347
baseline,NNLS,cells,factorial,0.25,Endothelial,189,1.496583284512975,3.790001955796201,-1.2547394668097764,9.740746505693801,0.12255608098283728,0.024691358024691357
baseline,NNLS,cells,factorial,0.25,Myeloid,189,1.9535005173379372,3.631969132259081,1.297889759934083,5.50566540688633,1.3614730357465383,0.36419753086419754
baseline,NNLS,cells,factorial,0.25,NK cells,189,1.4285714285714286,3.779644730092272,-1.4285714285714286,10.0,0.0,0.0
baseline,NNLS,cells,factorial,0.25,NKT cells,189,5.57302467400875,7.441167983415104,4.309482140823882,5.790944043508339,5.536704779092153,0.7160493827160493
baseline,NNLS,cells,factorial,0.25,Normal Epithelial,189,42.340582096357615,46.99003585131539,42.340582096357615,,42.34058209635761,0.9312169312169312
baseline,NNLS,cells,factorial,0.25,PVL,189,9.514183990185442,9.732794739012965,-9.018334704806106,9.514183990185442,,
baseline,NNLS,cells,factorial,0.25,Plasmablasts,189,0.0,0.0,0.0,,0.0,0.0
baseline,NNLS,cells,factorial,0.25,T cells CD4+,189,2.0749675676813193,5.529124368886297,-0.315262644063435,11.768756579801789,0.4593360656612411,0.037037037037037035
