spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0088_depth25,88,factorial,caf1_cd81_Myeloid,1,0.25,10,11269,177,0,synthetic_index
mix_0089_depth100,89,factorial,caf1_cd81_Myeloid,2,1.0,10,39936,178,0,synthetic_index
mix_0089_depth25,89,factorial,caf1_cd81_Myeloid,2,0.25,10,9870,179,0,synthetic_index
mix_0090_depth100,90,factorial,caf1_cd81_Endothelial,0,1.0,10,43724,180,0,synthetic_index
mix_0090_depth25,90,factorial,caf1_cd81_Endothelial,0,0.25,10,10911,181,0,synthetic_index
mix_0091_depth100,91,factorial,caf1_cd81_Endothelial,1,1.0,10,31235,182,0,synthetic_index
mix_0091_depth25,91,factorial,caf1_cd81_Endothelial,1,0.25,10,7808,183,0,synthetic_index
mix_0092_depth100,92,factorial,caf1_cd81_Endothelial,2,1.0,10,46102,184,0,synthetic_index
mix_0092_depth25,92,factorial,caf1_cd81_Endothelial,2,0.25,10,11727,185,0,synthetic_index
mix_0093_depth100,93,factorial,caf1_cd81_B-cells,0,1.0,10,37261,186,0,synthetic_index
mix_0093_depth25,93,factorial,caf1_cd81_B-cells,0,0.25,10,9398,187,0,synthetic_index
mix_0094_depth100,94,factorial,caf1_cd81_B-cells,1,1.0,10,40150,188,0,synthetic_index
mix_0094_depth25,94,factorial,caf1_cd81_B-cells,1,0.25,10,9885,189,0,synthetic_index
mix_0095_depth100,95,factorial,caf1_cd81_B-cells,2,1.0,10,39108,190,0,synthetic_index
mix_0095_depth25,95,factorial,caf1_cd81_B-cells,2,0.25,10,9904,191,0,synthetic_index
mix_0096_depth100,96,factorial,caf1_cd81_NK cells,0,1.0,10,40081,192,0,synthetic_index
mix_0096_depth25,96,factorial,caf1_cd81_NK cells,0,0.25,10,10012,193,0,synthetic_index
mix_0097_depth100,97,factorial,caf1_cd81_NK cells,1,1.0,10,25212,194,0,synthetic_index
mix_0097_depth25,97,factorial,caf1_cd81_NK cells,1,0.25,10,6277,195,0,synthetic_index
mix_0098_depth100,98,factorial,caf1_cd81_NK cells,2,1.0,10,33443,196,0,synthetic_index
mix_0098_depth25,98,factorial,caf1_cd81_NK cells,2,0.25,10,8477,197,0,synthetic_index
mix_0099_depth100,99,factorial,caf1_cd81_NKT cells,0,1.0,10,39477,198,0,synthetic_index
mix_0099_depth25,99,factorial,caf1_cd81_NKT cells,0,0.25,10,9870,199,0,synthetic_index
mix_0100_depth100,100,factorial,caf1_cd81_NKT cells,1,1.0,10,62255,200,0,synthetic_index
mix_0100_depth25,100,factorial,caf1_cd81_NKT cells,1,0.25,10,15583,201,0,synthetic_index
mix_0101_depth100,101,factorial,caf1_cd81_NKT cells,2,1.0,10,39538,202,0,synthetic_index
mix_0101_depth25,101,factorial,caf1_cd81_NKT cells,2,0.25,10,9861,203,0,synthetic_index
mix_0102_depth100,102,factorial,caf1_cd81_Cycling T-cells,0,1.0,10,28424,204,0,synthetic_index
mix_0102_depth25,102,factorial,caf1_cd81_Cycling T-cells,0,0.25,10,7158,205,0,synthetic_index
mix_0103_depth100,103,factorial,caf1_cd81_Cycling T-cells,1,1.0,10,48620,206,0,synthetic_index
mix_0103_depth25,103,factorial,caf1_cd81_Cycling T-cells,1,0.25,10,12292,207,0,synthetic_index
mix_0104_depth100,104,factorial,caf1_cd81_Cycling T-cells,2,1.0,10,32556,208,0,synthetic_index
mix_0104_depth25,104,factorial,caf1_cd81_Cycling T-cells,2,0.25,10,8100,209,0,synthetic_index
mix_0105_depth100,105,factorial,caf1_cd83_T cells CD4+,0,1.0,10,26746,210,0,synthetic_index
mix_0105_depth25,105,factorial,caf1_cd83_T cells CD4+,0,0.25,10,6776,211,0,synthetic_index
mix_0106_depth100,106,factorial,caf1_cd83_T cells CD4+,1,1.0,10,34144,212,0,synthetic_index
mix_0106_depth25,106,factorial,caf1_cd83_T cells CD4+,1,0.25,10,8563,213,0,synthetic_index
mix_0107_depth100,107,factorial,caf1_cd83_T cells CD4+,2,1.0,10,31276,214,0,synthetic_index
mix_0107_depth25,107,factorial,caf1_cd83_T cells CD4+,2,0.25,10,7802,215,0,synthetic_index
mix_0108_depth100,108,factorial,caf1_cd83_Myeloid,0,1.0,10,27455,216,0,synthetic_index
mix_0108_depth25,108,factorial,caf1_cd83_Myeloid,0,0.25,10,6912,217,0,synthetic_index
mix_0109_depth100,109,factorial,caf1_cd83_Myeloid,1,1.0,10,25764,218,0,synthetic_index
mix_0109_depth25,109,factorial,caf1_cd83_Myeloid,1,0.25,10,6491,219,0,synthetic_index
mix_0110_depth100,110,factorial,caf1_cd83_Myeloid,2,1.0,10,21283,220,0,synthetic_index
mix_0110_depth25,110,factorial,caf1_cd83_Myeloid,2,0.25,10,5342,221,0,synthetic_index
mix_0111_depth100,111,factorial,caf1_cd83_Endothelial,0,1.0,10,43386,222,0,synthetic_index
mix_0111_depth25,111,factorial,caf1_cd83_Endothelial,0,0.25,10,10896,223,0,synthetic_index
mix_0112_depth100,112,factorial,caf1_cd83_Endothelial,1,1.0,10,27078,224,0,synthetic_index
mix_0112_depth25,112,factorial,caf1_cd83_Endothelial,1,0.25,10,6836,225,0,synthetic_index
mix_0113_depth100,113,factorial,caf1_cd83_Endothelial,2,1.0,10,20514,226,0,synthetic_index
mix_0113_depth25,113,factorial,caf1_cd83_Endothelial,2,0.25,10,5255,227,0,synthetic_index
