donor_id,method,approach,depth_fraction,original_type,coarse_type,n_spots,dominant_matches,mean_correct_weight,mean_T_weight,mean_NK_weight
CID4463,NNLS,coarse_reference_refit,1.0,Endothelial,Endothelial,5,5,0.7840570122105386,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,Myeloid,Myeloid,5,5,1.0,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,NKT cells,T cells,5,5,0.7743403401380291,0.7743403401380291,0.0
CID4463,NNLS,coarse_reference_refit,1.0,Normal Epithelial,Normal Epithelial,5,5,0.9935570746529734,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,PVL,PVL,5,5,0.9882392417154326,0.0,0.0
CID4463,NNLS,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.7675068715368384,0.7675068715368384,0.0
CID4463,NNLS,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.764564641833052,0.764564641833052,0.0
CID4463,NNLS,coarse_reference_refit,0.25,CAFs,CAFs,5,5,0.9798758293508556,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,Cancer Epithelial,Cancer Epithelial,5,0,0.0641546973263728,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,Cycling T-cells,T cells,5,0,0.1435907585593492,0.1435907585593492,0.0
CID4463,NNLS,coarse_reference_refit,0.25,Endothelial,Endothelial,5,5,0.8082147506638956,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,Myeloid,Myeloid,5,5,1.0,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,NKT cells,T cells,5,5,0.7229790641350087,0.7229790641350087,0.0
CID4463,NNLS,coarse_reference_refit,0.25,Normal Epithelial,Normal Epithelial,5,5,0.992432642099296,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,PVL,PVL,5,5,0.9899058616243573,0.0,0.0
CID4463,NNLS,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.7443151967712474,0.7443151967712474,0.0
CID4463,NNLS,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.7321076127068885,0.7321076127068885,0.0
CID3941,RCTD,fine_fit_then_sum,1.0,CAFs,CAFs,5,1,0.3072147360291246,0.033810016620726115,1.8636733418048118e-05
CID3941,RCTD,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9365635173277009,0.9365635173277009,0.045225181699132574
CID3941,RCTD,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.93225286323107,0.93225286323107,0.010726839680259583
CID3941,RCTD,fine_fit_then_sum,0.25,CAFs,CAFs,5,1,0.29240730734260023,0.06834565333515528,1.9323452980176238e-05
CID3941,RCTD,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.8940836555963859,0.8940836555963859,0.07767045601319866
CID3941,RCTD,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.9494406892049275,0.9494406892049275,0.011657196007212078
CID3941,RCTD,coarse_reference_refit,1.0,CAFs,CAFs,5,1,0.31618589228723903,3.349443793419466e-05,3.3494436721838e-05
CID3941,RCTD,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.9470836112908785,0.9470836112908785,0.03491834888059728
CID3941,RCTD,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.75567783463112,0.75567783463112,0.17017030694544238
CID3941,RCTD,coarse_reference_refit,0.25,CAFs,CAFs,5,1,0.30270624589717465,3.9585086376931386e-05,3.9585085829312544e-05
CID3941,RCTD,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.9129408673189683,0.9129408673189683,0.03853046740478721
CID3941,RCTD,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.8014128638884911,0.8014128638884911,0.13948276233090823
CID3941,NNLS,fine_fit_then_sum,1.0,CAFs,CAFs,5,4,0.37019918877515284,0.2678963753752122,0.0
CID3941,NNLS,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9948327681546804,0.9948327681546804,0.0
CID3941,NNLS,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.9557772201005523,0.9557772201005523,0.0
CID3941,NNLS,fine_fit_then_sum,0.25,CAFs,CAFs,5,3,0.3487331270044652,0.2933811932580971,0.0
CID3941,NNLS,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.9963783782944787,0.9963783782944787,0.0
CID3941,NNLS,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.9719441060499753,0.9719441060499753,0.0
CID3941,NNLS,coarse_reference_refit,1.0,CAFs,CAFs,5,3,0.4075711058013486,0.012952032902670978,0.0
CID3941,NNLS,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.9457729779947034,0.9457729779947034,0.00364336927478292
CID3941,NNLS,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.8579606984959198,0.8579606984959198,0.07500882072170442
CID3941,NNLS,coarse_reference_refit,0.25,CAFs,CAFs,5,3,0.38956585819234324,0.00928308695065466,0.0
CID3941,NNLS,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.9244699751568835,0.9244699751568835,0.026600968983006977
CID3941,NNLS,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.8849272023066858,0.8849272023066858,0.054954024806375325
CID3948,RCTD,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.8428315736186811,0.020567369623651743,0.0008457268049257723
CID3948,RCTD,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.931553600846909,0.931553600846909,7.554128863475278e-05
CID3948,RCTD,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.8782615952577432,0.8782615952577432,0.04546105560082729
CID3948,RCTD,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.8297163819284681,0.03233339190101011,0.002145264288115088
CID3948,RCTD,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.9191408417226178,0.9191408417226178,0.021011482956089563
CID3948,RCTD,fine_fit_then_sum,0.25,T cells CD8+,T cells,5,5,0.8440281452335079,0.8440281452335079,0.08798131692996897
CID3948,RCTD,coarse_reference_refit,1.0,CAFs,CAFs,5,5,0.823656106857066,0.00848543410533426,0.002166452602327794
CID3948,RCTD,coarse_reference_refit,1.0,T cells CD4+,T cells,5,5,0.9133854422045603,0.9133854422045603,0.00013381320253760918
CID3948,RCTD,coarse_reference_refit,1.0,T cells CD8+,T cells,5,5,0.6160158061726368,0.6160158061726368,0.2840826823445606
CID3948,RCTD,coarse_reference_refit,0.25,CAFs,CAFs,5,5,0.8197603916709614,0.009040400888223547,0.003331229772669396
CID3948,RCTD,coarse_reference_refit,0.25,T cells CD4+,T cells,5,5,0.8844080726815609,0.8844080726815609,0.020990673565445362
CID3948,RCTD,coarse_reference_refit,0.25,T cells CD8+,T cells,5,5,0.5720694806390872,0.5720694806390872,0.33758077812003046
CID3948,NNLS,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.7902113623291577,0.19235230700048675,0.0
CID3948,NNLS,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9238024933117399,0.9238024933117399,0.0
CID3948,NNLS,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.9201051180878809,0.9201051180878809,0.02687328129226338
CID3948,NNLS,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.7651509296062629,0.21793189419127632,0.0
CID3948,NNLS,fine_fit_then_sum,0.25,T cells CD4+,T cells,5,5,0.9041060528606991,0.9041060528606991,0.0
