donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,fine_fit_then_sum,cells,factorial,0.25,T cells,189,10.196900007284912,13.055118534245269,-9.418625683512667,12.264593764935615,36,1.4092015372694182,0.5
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,B-cells,189,1.1617249554561146,2.9478126046946054,-1.012896768172506,7.611176032700172,162,0.086816442582105,0.024691358024691357
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,CAFs,189,4.888781119871548,8.021159698826704,0.04505369526002229,7.314981248844235,63,0.03638086192617186,0.0
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,Cancer Epithelial,189,17.618852674433448,20.156466330246015,-16.98784799822779,17.618852674433448,0,,
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,Endothelial,189,0.9692689683720211,2.918393392893172,-0.5826553807341119,6.481631139936444,162,0.05054193977795082,0.018518518518518517
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,Myeloid,189,0.6842920836578642,1.862316596644547,-0.11159033857271752,4.163798435352517,162,0.10437435837542196,0.024691358024691357
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,NK cells,189,1.4939502196702907,3.1681175346955515,-0.7308753007761168,7.786889321562426,162,0.44512703602160136,0.13580246913580246
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,189,36.32379167975756,0.9947089947089947
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,PVL,189,8.234042504498689,8.978948499459745,-7.368968696070562,8.234042504498689,0,,
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,Plasmablasts,189,0.0224510135470143,0.04283570518145097,0.0224510135470143,,189,0.022451013547014297,0.0
CID4067,RCTD,fine_fit_then_sum,cells,factorial,1.0,T cells,189,10.177234183138589,13.093191115425652,-9.596461906010807,12.361048298921487,36,0.8960241910612747,0.3333333333333333
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,B-cells,55,0.783834429260042,1.8209443698064134,0.34623148369062356,2.406816200631801,50,0.6215362521228659,0.18
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,CAFs,55,0.7899270915501101,2.6210100399294207,-0.013609489810333298,4.419451197482439,50,0.4269746809568773,0.06
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,Cancer Epithelial,55,5.701639301872585,15.633428672714086,-3.204765165890645,48.98522457269776,50,1.373280774790067,0.08
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,Endothelial,55,0.6701621818665238,2.6215410974741955,-0.3049708137246621,5.363231475751522,50,0.2008552524780239,0.02
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,Myeloid,55,0.18787674369338522,0.7349570398600923,-0.09214448222921845,1.54011674257432,50,0.05265274380529171,0.0
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,NK cells,55,4.772721164224877,12.11724821079675,1.271680506647336,19.25572361667648,50,3.3244209189797176,0.2
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,Normal Epithelial,55,4.554154534811926,13.514999039501967,4.554154534811926,,55,4.554154534811926,0.14545454545454545
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,PVL,55,2.8094741343747174,10.576489360114104,-2.0471886353310795,26.71164523338188,50,0.41925702447400093,0.08
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,Plasmablasts,55,0.1338007771275668,0.6481920305861218,0.1338007771275668,,55,0.13380077712756677,0.01818181818181818
CID4067,RCTD,fine_fit_then_sum,cells,pure,0.25,T cells,55,6.034070784381894,12.50219949381585,-0.6431887152915285,9.181231812050957,35,4.235693054285287,0.42857142857142855
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,B-cells,55,0.2949283502013327,0.8171615083212448,0.04415815474382375,1.379236075016299,50,0.18649757771983605,0.06
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,CAFs,55,0.6710008275987034,2.589274274417239,0.17778057137637224,2.7127114092228206,50,0.46682976943629145,0.06
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,Cancer Epithelial,55,4.841982244839342,13.717250555328432,-3.0352384668949464,43.324713914538606,50,0.9937090778694189,0.08
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,Endothelial,55,0.37702686821142145,1.5692325170901422,-0.06715725190915625,2.4430126606631775,50,0.1704282889662459,0.02
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,Myeloid,55,0.060007319148258145,0.28768272388765775,-0.025157295305367002,0.4684053794949383,50,0.01916751311359013,0.0
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,NK cells,55,3.311926883825842,8.559238599542592,0.11884627219119105,17.561943363990583,50,1.8869252358093682,0.14
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,Normal Epithelial,55,4.18100063747113,12.49583477756153,4.18100063747113,,55,4.181000637471131,0.14545454545454545
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,PVL,55,2.255543089139921,9.024102659153035,-1.784337719176526,22.21934444574046,50,0.25916295347986806,0.06
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,Plasmablasts,55,0.11249075282714867,0.35827933723891064,0.11249075282714867,,55,0.11249075282714867,0.01818181818181818
CID4067,RCTD,fine_fit_then_sum,cells,pure,1.0,T cells,55,3.866544714581212,8.596940916593162,0.2776143446763276,4.9347792586192165,35,3.256124975130924,0.34285714285714286
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,B-cells,189,0.3932340374702172,0.8915575513691577,0.14854893404552938,1.2123673829671797,162,0.2567118132207234,0.09259259259259259
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,CAFs,189,3.1523148574157376,4.830000240285102,-2.7464934576078703,4.693978118800889,63,0.06898833464543487,0.015873015873015872
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,Cancer Epithelial,189,30.473085723317382,32.58937729681034,-30.436316795018204,30.473085723317382,0,,
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,Endothelial,189,0.3678224998246697,1.2319805473606213,-0.13752215575427953,2.074557326836878,162,0.08336669532263491,0.024691358024691357
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,Myeloid,189,0.5301086963388113,1.1189078754457762,0.21904814987959326,1.9493778207477954,162,0.29356384227064725,0.06172839506172839
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,NK cells,189,1.2247765140975149,2.100624913450389,1.0398969108651794,1.5820861344333608,162,1.1652249107082073,0.345679012345679
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,Normal Epithelial,189,34.90091160912546,36.405391914557725,34.90091160912546,,189,34.90091160912546,0.9947089947089947
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,PVL,189,3.2193961714510464,4.803764811580958,-2.9998998672834483,3.2193961714510464,0,,
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,Plasmablasts,189,0.06204951725620247,0.12036946712726962,0.06204951725620247,,189,0.06204951725620247,0.0
